"Discount name","Discount method","Discount type","Discount class","Applied discounts","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"FULJ4NT1","discount_code","fixed_amount","order",-100,1,95.68,0,8.7,0,1.3,10
"F2XTGF1I","discount_code","fixed_amount","order",-200,1,181.82,0,7.83,0,1.17,9
"SDTGBLVM","discount_code","fixed_amount","order",-100,1,91.34,0,4.35,0,0.65,5
"ATLEQAHF","discount_code","fixed_amount","order",-200,1,175.72,0,1.74,0,0.26,2
"V4XTUG2A","discount_code","fixed_amount","order",-100,1,88.74,0,1.74,0,0.26,2
"Free membership","manual","percentage",,-99,1,87,0,0.87,0,0.13,1
"OJJX80VL","discount_code","fixed_amount","order",-200,1,174.87,0,0.87,0,0.13,1
"YGXLCLKU","discount_code","percentage","shipping",-99,1,0,0,0,0,0,0
"BO96KVEG","discount_code","fixed_amount","order",-95,1,95,0,0,0,0,0
"9UZ4LHEO","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"HRRMYUJQ","discount_code","fixed_amount","order",-990,1,990,0,0,0,0,0
"ZIJ1XBGG","discount_code","fixed_amount","order",-129,1,129,0,0,0,0,0
"MBMEGR7L","discount_code","fixed_amount","order",-25,1,25,0,0,0,0,0
"EHUSQYP7","discount_code","fixed_amount","order",-37,1,37,0,0,0,0,0
"19XZ7BTI","discount_code","fixed_amount","order",-150,1,150,0,0,0,0,0
"RFW3OTGL","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"Discount code CNTJLP5F . Brainstorm was sold out and member used his discount code for the product .when changing the product the code was gone .","manual","fixed_amount",,-760,1,760,0,0,0,0,0
"4IB9J2BH","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"R4H3P2TK","discount_code","fixed_amount","product",-100,1,100,0,0,0,0,0
"KRGGGHUG","discount_code","fixed_amount","order",-200,1,200,0,0,0,0,0
"GEK4VOWL","discount_code","fixed_amount","order",-570,1,570,0,0,0,0,0
"NJGIGBUX","discount_code","fixed_amount","order",-167,1,167,0,0,0,0,0
"SOVONVSY","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"K4PZLPZJ","discount_code","fixed_amount","order",-82,1,82,0,0,0,0,0
"DODD7DYN","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"CQDHMHRL","discount_code","fixed_amount","order",-87,1,87,0,0,0,0,0
"SGUQGWGH","discount_code","fixed_amount","order",-190,1,190,0,0,0,0,0
"VQTC5AWG","discount_code","fixed_amount","order",-480,1,480,0,0,0,0,0
"VCZYCEVW","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"NJSIYV3P","discount_code","fixed_amount","order",-190,1,190,0,0,0,0,0
"Z60JWDLB","discount_code","fixed_amount","order",-800,1,800,0,0,0,0,0
"RZBN52RX","discount_code","fixed_amount","product",-100,1,100,0,0,0,0,0
"TLK4ZHPW","discount_code","fixed_amount","order",-175,1,175,0,0,0,0,0
"8GRMBKB8","discount_code","fixed_amount","product",-100,1,100,0,0,0,0,0
"OY8QUQ3G","discount_code","fixed_amount","order",-87,1,87,0,0,0,0,0
"OVHQAL5X","discount_code","fixed_amount","order",-90,1,90,0,0,0,0,0
"1MV2SQJ8","discount_code","fixed_amount","order",-75,1,75,0,0,0,0,0
"P2TJD7CB","discount_code","fixed_amount","order",-95,1,95,0,0,0,0,0
"FDPS2HNS","discount_code","percentage","shipping",0,1,0,0,0,0,0,0
"B5W3YTEI","discount_code","fixed_amount","order",-100,1,100,0,0,0,0,0
"0PIUKC0M","discount_code","fixed_amount","order",-190,1,190,0,0,0,0,0
"EOKKJ2DR","discount_code","fixed_amount","order",-375,1,375,0,0,0,0,0
"PLHM8KJS","discount_code","fixed_amount","product",-100,1,100,0,0,0,0,0
"77XMFL8L","discount_code","fixed_amount","product",-100,1,100,0,0,0,0,0
"IT1YI0QQ","discount_code","fixed_amount","order",-169,1,169,0,0,0,0,0
"RIACWTY8","discount_code","fixed_amount","order",-190,1,190,0,0,0,0,0
"PQ90FSFJ","discount_code","fixed_amount","order",-95,1,95,0,0,0,0,0
"8N2GMRMP","discount_code","fixed_amount","order",-84,1,84,0,0,0,0,0
"T2MJQI92","discount_code","fixed_amount","order",-500,1,570,0,0,0,0,0
"J2IHP690","discount_code","fixed_amount","order",-250,1,250,0,0,0,0,0
"0NJNBNSG","discount_code","fixed_amount","order",-95,1,95,0,0,0,0,0
"KA97XKJR","discount_code","fixed_amount","order",-950,1,950,0,0,0,0,0
"B9WBPZTB","discount_code","fixed_amount","product",-100,1,100,0,0,0,0,0
"D2PIE5WF","discount_code","fixed_amount","order",-85,1,85,0,0,0,0,0
"DBNZGHYM","discount_code","fixed_amount","order",-200,1,200,0,0,0,0,0
"OUR4HZUY","discount_code","fixed_amount","order",-200,1,200,0,0,0,0,0
"9GSSMOHL","discount_code","fixed_amount","order",-90,1,90,0,0,0,0,0
"S5LBUBWY","discount_code","fixed_amount","order",-190,1,190,0,0,0,0,0
